event_id,participant_id,rank,medal,score_raw,points_awarded
uci_cyclocross_world_championships_2004_women_elite,athlete_Laurence_Leboucher_FRA,1,gold,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,10.0
uci_cyclocross_world_championships_2004_women_elite,athlete_Maryline_Salvetat_FRA,2,silver,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,7.0
uci_cyclocross_world_championships_2004_women_elite,athlete_Hanka_Kupfernagel_GER,3,bronze,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,5.0
uci_cyclocross_world_championships_2005_men_elite,athlete_Sven_Nys_BEL,1,gold,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,10.0
uci_cyclocross_world_championships_2005_men_elite,athlete_Erwin_Vervecken_BEL,2,silver,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,7.0
uci_cyclocross_world_championships_2005_men_elite,athlete_Sven_Vanthourenhout_BEL,3,bronze,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,5.0
uci_cyclocross_world_championships_2005_women_elite,athlete_Hanka_Kupfernagel_GER,1,gold,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,10.0
uci_cyclocross_world_championships_2005_women_elite,athlete_Sabine_Spitz_GER,2,silver,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,7.0
uci_cyclocross_world_championships_2005_women_elite,athlete_Mirjam_Melchers_NLD,3,bronze,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,5.0
uci_cyclocross_world_championships_2006_men_elite,athlete_Erwin_Vervecken_BEL,1,gold,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,10.0
uci_cyclocross_world_championships_2006_men_elite,athlete_Bart_Wellens_BEL,2,silver,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,7.0
uci_cyclocross_world_championships_2006_men_elite,athlete_Francis_Mourey_FRA,3,bronze,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,5.0
uci_cyclocross_world_championships_2006_women_elite,athlete_Marianne_Vos_NLD,1,gold,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,10.0
uci_cyclocross_world_championships_2006_women_elite,athlete_Hanka_Kupfernagel_GER,2,silver,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,7.0
uci_cyclocross_world_championships_2006_women_elite,athlete_Daphny_van_den_Brand_NLD,3,bronze,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Women%27s_elite_race,5.0
uci_cyclocross_world_championships_2007_men_elite,athlete_Erwin_Vervecken_BEL,1,gold,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,10.0
uci_cyclocross_world_championships_2007_men_elite,athlete_Jonathan_Page_USA,2,silver,discipline=cycling-cyclo-cross;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Cyclo-cross_World_Championships_%E2%80%93_Men%27s_elite_race,7.0
